submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
01/07/2022,HI,130605,,,3520,604,1090,,,3,0,01/08/2022 02:31:47 PM,Not agree,Not agree
01/07/2022,AS,11,,,0,0,0,,,0,0,01/08/2022 02:31:47 PM,,
01/07/2022,TX,4946867,,,54263,9406,75128,,,114,0,01/08/2022 02:31:47 PM,Not agree,Not agree
01/07/2022,FL,4656797,,,69444,14060,63701,,,102,9,01/07/2022 12:00:00 AM,Not agree,Not agree
01/07/2022,AK,159436,,,3565,0,948,,,1,0,01/08/2022 02:31:47 PM,N/A,N/A
01/07/2022,KS,566062,433332,132730,16341,4925,7096,,,37,2,01/08/2022 02:31:47 PM,Agree,N/A
01/07/2022,WV,351688,275318,76370,4134,698,5421,,,29,1,01/08/2022 02:31:47 PM,Agree,Not agree
01/07/2022,PR,346724,216441,130283,6617,3233,3361,2857,504,4,2,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,OK,747150,556690,190460,9557,2740,11650,8838,2812,0,0,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,GA,1978788,1533043,445745,26033,4800,31646,26556,5090,53,20,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,CO,1033234,944553,88681,20652,1232,10425,9213,1212,23,5,01/07/2022 12:00:00 AM,Agree,Agree
01/07/2022,SD,189411,,,1944,366,2522,2144,378,2,0,01/08/2022 02:31:47 PM,N/A,Agree
01/07/2022,TN,1513498,1174251,339247,19456,5106,21064,15992,5072,29,6,01/06/2022 12:00:00 AM,Agree,Agree
01/07/2022,IA,608000,,,11704,3190,8019,,,0,0,01/08/2022 02:31:47 PM,Not agree,Not agree
01/07/2022,OH,2151829,1689856,461973,19563,6185,30072,30072,0,398,0,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,VI,12138,,,305,0,89,,,0,0,01/08/2022 02:31:47 PM,,
01/07/2022,NH,214572,,,2620,0,2019,,,2,0,01/08/2022 02:31:47 PM,Not agree,Not agree
01/07/2022,MS,586547,333351,253196,6774,2776,10527,7042,3485,16,6,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,IN,1329423,,,14735,0,19614,18959,655,166,1,01/08/2022 02:31:47 PM,Not agree,Agree
01/07/2022,NC,1845948,1549281,296667,31866,5526,20124,17689,2435,57,10,01/07/2022 12:00:00 AM,Agree,Agree
01/07/2022,IL,2382437,2382437,0,42903,0,31660,28361,3299,124,23,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,MD,815023,,,12798,0,12193,11953,240,59,0,01/09/2022 12:00:00 AM,N/A,Agree
01/07/2022,ND,180646,146522,34124,0,0,2028,,,0,0,01/08/2022 02:31:47 PM,Agree,Not agree
01/07/2022,WI,1186066,1048267,137799,15562,2837,11402,10271,1131,26,8,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,NE,360321,263765,96556,4393,1528,3468,2887,581,12,3,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,CA,5947810,5634357,313453,103606,0,76341,,,287,0,01/08/2022 02:31:47 PM,Agree,Not agree
01/07/2022,MN,1064065,,,7829,530,10906,10106,800,33,2,01/08/2022 02:31:47 PM,N/A,Agree
01/07/2022,KY,935209,648131,287078,10199,2866,13194,11434,1760,35,6,01/07/2022 12:00:00 AM,Agree,Agree
01/07/2022,OR,459700,459700,0,10433,0,5761,5761,0,33,0,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,LA,908428,,,14802,4075,15054,13063,1991,16,8,01/08/2022 02:31:47 PM,Not agree,Agree
01/07/2022,VA,1247222,893670,353552,26186,8460,15666,13081,2585,15,3,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,NJ,1782463,1535503,246960,38461,5108,29374,26519,2855,59,0,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,GU,20688,,,94,0,274,,,0,0,01/08/2022 02:31:47 PM,Not agree,Not agree
01/07/2022,CT,573711,514596,59115,10076,49,9377,7669,1708,96,21,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,VT,68036,,,1804,210,459,,,0,0,01/09/2022 12:00:00 AM,Not agree,Not agree
01/07/2022,DE,198743,181969,16774,4442,393,2460,2238,222,7,1,01/09/2022 12:00:00 AM,Agree,Agree
01/07/2022,MT,202863,166424,36439,1143,321,2917,2917,0,1,0,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,WA,930483,,,17022,2126,10004,,,30,0,01/07/2022 12:00:00 AM,N/A,N/A
01/07/2022,NV,528892,509472,19420,5265,522,8510,,,4,0,01/08/2022 02:31:47 PM,Agree,
01/07/2022,ME,167010,122307,44703,2420,526,1603,1469,134,4,0,01/09/2022 12:00:00 AM,Agree,Agree
01/07/2022,MI,1855658,1636611,219047,26584,3586,29955,27822,2133,11,21,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,MO,1080412,,,12979,2724,16330,,,12,3,01/08/2022 02:31:47 PM,Not agree,Not agree
01/07/2022,ID,327065,258936,68129,1335,377,4235,3492,743,12,3,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,AL,969412,709057,260355,10775,3436,16872,13097,3775,19,5,01/07/2022 12:00:00 AM,Agree,Agree
01/07/2022,AZ,1445129,1295477,149652,14888,2555,24616,21372,3244,30,10,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,FSM,7,7,0,0,0,0,0,0,0,0,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,RI,251494,,,5808,0,3121,,,9,0,01/07/2022 12:00:00 AM,Not agree,N/A
01/07/2022,SC,1053023,834183,218840,14518,4151,14781,,,8,2,01/07/2022 12:00:00 AM,Agree,Not agree
01/07/2022,WY,119857,94809,25048,764,181,1572,1572,0,0,0,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,DC,110040,,,1928,0,1227,,,2,0,01/08/2022 02:31:47 PM,,
01/07/2022,MP,3598,3598,0,80,0,19,19,0,1,0,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,NYC,1829862,1521572,308290,0,0,35796,30543,5253,0,0,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,UT,682036,682036,0,9469,0,3896,3741,155,20,0,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,MA,1279928,1186137,93791,29163,2976,20568,20106,462,58,3,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,PW,21,,,0,0,0,,,0,0,01/08/2022 02:31:47 PM,,
01/07/2022,AR,604843,,,8434,3130,9298,,,20,5,01/08/2022 02:31:47 PM,Not agree,Not agree
01/07/2022,PA,2206899,1818912,387987,32053,5637,37522,,,156,129,01/08/2022 02:31:47 PM,Agree,Not agree
01/07/2022,NM,369113,,,4252,0,5983,,,14,0,01/08/2022 02:31:47 PM,N/A,Not agree
01/07/2022,RMI,7,7,0,0,0,0,0,0,0,0,01/08/2022 02:31:47 PM,Agree,Agree
01/07/2022,NY,2143150,,,37816,0,24034,,,86,0,01/08/2022 02:31:47 PM,Not agree,Not agree
